,Agency,Avg Days Till Completion
0,Abbevile Police Department,031 days 20:00:00
1,Abbeville Police Department,097 days 20:37:44
2,Aberdeen Police Department,030 days 19:03:00
3,Abilene Texas Police Department,252 days 20:49:24
4,Abington Police Department,019 days 07:08:21
5,Acworth Police Department,070 days 15:24:02
6,Ada County Sheriff's Office,013 days 21:13:32
7,Adair County Sheriff 's Department,016 days 03:35:08
8,Adams County Sheriff,183 days 09:12:52
9,Adams County Sheriff's Office,029 days 21:34:56
10,"Adams County Sheriff's Office, Adams County, WA",033 days 01:39:56
11,Addison Police Department,011 days 18:02:54
12,Adrian Police Department,087 days 17:30:28
13,Afton Village Police Department,024 days 20:00:00
14,Aiken County Sheriff,01 days 00:59:25
15,Airport Police Department,021 days 14:24:00
16,Akron Police Department,065 days 07:41:06
17,Alabama Department of Public Safety,110 days 19:15:28
18,Alachua County Sheriff,060 days 02:17:58
19,Alachua Police Department,1171 days 08:51:23
20,Alamance County Sheriff,07 days 08:00:00
21,Alameda County Sheriff's Office,146 days 05:10:01
22,Alameda Police Department,073 days 07:24:44
23,Alamosa County Sheriff,02 days 20:00:00
24,Alaska Department of Public Safety,077 days 01:46:21
25,Albany County Sheriff,01 days 00:24:59
26,Albany County Sheriff's Office,272 days 03:20:23
27,Albany Police Department,041 days 16:38:14
28,Albemarle County Police Department,03 days 22:08:49
29,Albion Department of Public Safety,055 days 20:00:00
30,Albuquerque Civilian Police Oversight Agency,01 days 20:00:00
31,Albuquerque Police Department,420 days 11:47:10
32,Alcona County Sheriff's Office,015 days 08:34:24
33,Alcorn County Sheriff,01 days 16:28:35
34,Alexandria City Firefighters' & Police Officers' Retirement System,04 days 01:07:17
35,Alexandria Police Department,051 days 14:26:19
36,Alfred Police Department,06 days 20:19:41
37,Alhambra Police Department,624 days 10:29:46
38,Allegan County Sheriff,025 days 20:14:25
39,Allegany County Sheriff's Office,019 days 00:56:12
40,Allegany Village Police Department,024 days 06:10:12
41,Alleghany County Sheriff's Office,126 days 12:06:05
42,Allegheny County Police Department,023 days 10:57:23
43,Allegheny County Sheriff's Office,05 days 08:19:39
44,Allen Parish Sheriff's Office,091 days 20:00:00
45,Allenstown Police Department,018 days 18:52:08
46,Allentown Police Department,467 days 15:12:06
47,Alma Police Department,037 days 23:44:49
48,Alpharetta Police Department,04 days 19:32:09
49,Alpine County Sheriff's Office,09 days 01:51:28
50,Alstead Police Department,06 days 20:19:42
51,Alton Police Department,015 days 15:57:48
52,Alturas Police Department,019 days 19:02:21
53,Amador County Sheriff's Office,07 days 02:19:47
54,Amarillo Police Department,032 days 04:54:43
55,Amberley Police Department,012 days 01:56:47
56,American Canyon Police Department,08 days 03:45:07
57,Ames Police Department,01 days 20:00:00
58,Amesbury Police Department,00 days 17:57:17
59,Amherst Police Department,028 days 06:48:18
60,Amite County Sheriff's Department,044 days 17:44:40
61,Amsterdam City Police Department,033 days 01:26:34
62,Anadarko Police Department,04 days 16:24:27
63,Anaheim Police Department,170 days 02:06:26
64,Anchorage Police Department,020 days 14:22:42
65,Anderson County Sheriff,03 days 20:00:00
66,Andover Police Department,010 days 01:25:16
67,Androscoggin County Sheriff,06 days 18:46:08
68,Angelica Village Police Department,022 days 01:06:44
69,Angels Camp Police Department,026 days 17:16:43
70,Ann Arbor Police Department,09 days 13:30:00
71,Annapolis Police Department,024 days 09:37:14
72,Anne Arundel County Police Department,073 days 10:59:18
73,Anoka County Sheriff's Office,026 days 13:34:13
74,Anthony Texas Police,442 days 20:00:00
75,Antioch California Police Department,209 days 03:01:35
76,Antrim County Sheriff Michigan,022 days 17:03:55
77,Antwerp Village Police Department,024 days 11:01:23
78,Appleton Police Department,030 days 07:29:49
79,Aragon Police Department,126 days 08:34:33
80,Arcade Police Department,021 days 08:34:33
81,Arcade Village Police Department,030 days 10:34:59
82,Arcadia Police Department,08 days 07:08:00
83,Arcata Police Department,011 days 16:44:55
84,Ardsley Police Department,058 days 21:33:56
85,Argyle Police Department,018 days 14:27:42
86,Arkansas County Sheriff's Office,374 days 10:14:22
87,Arkansas State Police,578 days 00:20:09
88,Arlington County Police Department,107 days 21:28:55
89,Arlington County Sheriff's Department,1235 days 07:46:40
90,Arlington Heights Police Department,011 days 01:27:43
91,Arlington Police Department,125 days 17:40:16
92,Arvada Police Department,020 days 04:00:00
93,Arvin Police Department,013 days 20:00:00
94,Asbury Park Police Department,05 days 23:03:12
95,Asharoken Village Police Department,324 days 11:17:49
96,Asheville Police Department,023 days 13:00:38
97,Ashland Police Department,114 days 14:00:00
98,Asotin County Police Department,039 days 23:47:49
99,Assumption Parish Sheriff's Office,08 days 20:00:00
100,Atascadero Police Department,028 days 00:47:57
101,Athens Police Department,018 days 18:04:41
102,Athens Village Police Department,599 days 02:37:58
103,Athens-Clarke Police Department,011 days 21:07:39
104,Atherton Police Department,144 days 08:25:58
105,Athol Police Department,09 days 04:22:15
106,Atlanta Police Department,020 days 19:58:36
107,Atlantic City Police Department,309 days 08:22:21
108,Atlantic County Sheriff's Office,00 days 19:50:35
109,Atlantis Police Department,03 days 01:54:47
110,Attica Village Police Department,036 days 08:19:09
111,Attleboro Police Department,262 days 02:45:38
112,Auburn Police Department,049 days 15:02:34
113,Augusta Police Department,08 days 17:52:40
114,Aurora Police Department,036 days 01:11:50
115,Austin Police Department,064 days 17:25:14
116,Aventura Police Department,00 days 16:13:36
117,Avon Village Police Department,247 days 11:47:39
118,Avondale Estates Police Department,01 days 01:00:59
119,Ayer Police Department,08 days 13:19:52
120,Azusa Police Department,019 days 15:16:48
121,BART Police,034 days 08:00:00
122,BURLINGTON POLICE DEPARTMENT,09 days 19:00:00
123,Baca County Sheriff,474 days 11:59:20
124,Baker County Sheriff,014 days 19:10:08
125,Baker County Sheriff's Office,015 days 16:08:24
126,Bakersfield Police Department,113 days 22:50:35
127,Bal Harbour Police Department,030 days 23:36:49
