State,Completed,Rejected,Withdrawn,No Responsive Documents,Fix Required,Awaiting Acknowledgement,Awaiting Response,Payment Required,Partially Completed
Tennessee,30.72,23.79,13.39,12.93,10.62,4.85,2.31,1.15,0.23
New York,44.69,13.01,4.87,21.15,4.41,2.33,7.15,0.62,0.93
Illinois,47.97,6.92,7.03,20.75,8.89,3.62,2.52,0.11,0.55
Alabama,29.75,12.56,32.07,9.75,4.46,5.29,0.99,1.65,3.31
Alaska,30.19,8.18,3.77,20.75,10.69,8.18,11.32,5.66,1.26
Arkansas,23.68,31.14,7.89,9.21,8.33,14.47,3.51,0.0,1.75
California,46.06,5.08,4.67,22.42,8.96,3.54,5.04,1.74,1.94
Colorado,37.8,3.83,6.7,27.99,10.53,3.83,4.31,3.59,1.44
Connecticut,46.3,3.01,4.11,28.49,7.12,4.11,3.01,2.19,1.37
Delaware,33.68,23.83,12.44,20.21,3.11,3.11,1.04,1.04,1.04
Florida,45.22,5.09,4.35,20.0,8.32,4.35,4.84,5.47,2.11
Hawaii,37.62,4.95,4.95,29.7,13.86,3.96,0.99,1.98,1.98
Indiana,38.1,8.23,3.9,27.27,11.26,4.76,4.33,0.43,1.73
Kansas,28.82,22.27,7.21,20.52,5.68,8.73,2.84,2.84,1.09
Louisiana,29.71,5.8,7.25,27.9,9.42,7.97,2.17,9.06,0.72
Maine,43.94,6.82,3.03,26.52,7.58,3.79,4.55,1.52,2.27
Michigan,37.2,11.59,5.89,20.53,6.91,2.85,3.25,9.76,1.63
Minnesota,37.33,2.4,4.11,31.85,6.85,10.96,4.11,0.68,1.03
Mississippi,26.09,8.7,4.97,24.22,11.8,11.18,2.48,9.94,0.62
Montana,37.79,3.49,8.14,23.26,9.3,8.72,4.65,4.07,0.58
Nebraska,41.88,8.12,7.5,28.12,7.5,0.0,0.0,5.62,0.62
North Dakota,48.92,6.99,2.69,30.11,4.3,1.61,0.0,4.84,0.54
Oklahoma,37.27,9.55,5.45,30.0,9.55,5.91,1.36,0.91,0.0
Oregon,35.29,10.29,7.35,18.14,14.22,0.49,2.45,10.29,0.98
Pennsylvania,46.08,18.24,6.4,15.52,4.32,3.36,3.52,1.44,0.96
Rhode Island,58.31,2.28,10.71,18.0,4.33,1.14,0.46,2.05,2.73
South Carolina,35.12,11.16,10.33,25.21,5.37,6.2,1.65,4.13,0.83
South Dakota,34.27,23.78,0.7,31.47,4.2,1.4,1.4,1.4,1.4
Utah,36.68,10.55,7.54,28.64,8.54,3.52,1.51,1.51,1.01
Vermont,49.06,1.42,12.26,21.23,5.19,5.66,0.94,1.89,2.36
Washington,57.79,3.77,4.65,15.2,5.28,0.63,7.04,2.26,3.02
Wisconsin,42.55,6.69,5.78,22.8,10.33,4.86,4.56,1.52,0.61
Wyoming,45.83,4.86,0.69,30.56,8.33,2.08,2.78,3.47,1.39
Massachusetts,32.87,2.35,14.91,38.56,2.74,3.01,1.79,2.02,1.1
Texas,42.52,5.2,6.87,24.47,8.64,3.32,3.1,3.1,0.89
Virginia,42.03,12.93,7.54,14.87,13.25,3.23,1.83,2.91,1.4
Georgia,36.69,5.88,4.76,34.17,9.24,2.8,2.24,3.08,0.84
District of Columbia,37.9,7.26,7.26,22.58,9.68,8.87,0.81,0.81,4.84
Ohio,43.13,7.58,5.92,22.99,12.32,3.55,2.61,0.24,1.66
Arizona,46.99,3.61,8.92,19.52,7.95,6.51,4.58,0.24,1.69
Idaho,55.36,6.25,6.25,21.43,3.57,5.36,0.89,0.89,0.0
New Mexico,43.27,3.85,5.77,24.52,8.65,5.29,1.44,3.37,3.37
New Jersey,35.81,18.6,7.21,22.56,7.21,2.79,3.26,0.47,1.63
Missouri,39.74,8.14,6.19,24.1,7.17,3.26,2.61,5.21,2.93
North Carolina,47.53,5.25,3.7,22.22,7.72,7.1,4.63,0.0,1.85
Nevada,43.06,4.72,3.06,19.72,13.89,8.06,4.17,0.83,1.11
Kentucky,34.31,11.76,10.78,23.53,7.35,5.88,3.92,1.96,0.0
Maryland,31.91,13.19,8.51,25.96,7.66,5.96,2.98,2.55,1.28
Iowa,43.56,4.29,6.75,22.09,8.59,2.45,1.23,7.36,2.45
New Hampshire,37.76,8.39,2.1,32.87,7.69,0.7,8.39,0.7,1.4
West Virginia,33.58,17.52,8.03,20.44,7.3,4.38,4.38,3.65,0.73
Guam,80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Virgin Islands,25.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0
Variation between Max and Min,56.32,29.72,31.38,29.35,22.259999999999998,24.51,10.86,10.18,4.609999999999999
