State,Mean Time to Complete: Non Police
Tennessee,075 days 21:55:53
New York,110 days 23:35:07
Illinois,054 days 15:21:52
Alabama,101 days 23:02:37
Alaska,128 days 14:52:44
Arkansas,076 days 01:01:55
California,070 days 21:29:36
Colorado,060 days 16:31:15
Connecticut,075 days 19:32:47
Delaware,077 days 05:54:03
Florida,074 days 10:08:58
Hawaii,127 days 15:15:15
Indiana,119 days 16:05:27
Kansas,070 days 11:35:44
Louisiana,136 days 04:03:38
Maine,045 days 15:01:50
Michigan,051 days 02:58:46
Minnesota,100 days 01:57:01
Mississippi,197 days 00:11:55
Montana,071 days 18:15:12
Nebraska,048 days 17:16:19
North Dakota,028 days 05:51:31
Oklahoma,172 days 17:10:27
Oregon,050 days 14:16:56
Pennsylvania,063 days 09:42:41
Rhode Island,019 days 04:17:56
South Carolina,104 days 14:35:40
South Dakota,058 days 22:23:50
Utah,097 days 06:54:08
Vermont,043 days 20:30:19
Washington,093 days 13:30:41
Wisconsin,112 days 11:24:29
Wyoming,063 days 13:03:52
Massachusetts,061 days 05:03:46
Texas,065 days 07:25:06
Virginia,054 days 12:59:22
Georgia,090 days 18:43:04
District of Columbia,124 days 18:14:01
Ohio,075 days 18:25:16
Arizona,088 days 08:37:47
Idaho,043 days 19:32:58
New Mexico,070 days 21:51:04
New Jersey,090 days 21:58:04
Missouri,069 days 12:21:48
North Carolina,112 days 15:37:20
Nevada,062 days 19:15:36
Kentucky,057 days 15:16:55
Maryland,067 days 00:25:23
Iowa,041 days 10:47:40
New Hampshire,072 days 20:38:21
West Virginia,030 days 07:53:53
Guam,042 days 05:50:45
Virgin Islands,NaT
