,Agency,Requests Received
0,New York City Police Department,556
1,Chicago Police Department,508
2,Boston Police Department,369
3,Seattle Police Department,326
4,Massachusetts State Police,241
5,Los Angeles Police Department,236
6,San Francisco Police Department,189
7,Metropolitan Police Department,171
8,Philadelphia Police Department,155
9,Los Angeles County Sheriff's Department,139
10,Baltimore Police Department,134
11,Texas Department of Public Safety,132
12,Denver Police Department,124
13,Portland Police Bureau,119
14,Houston Police Department,111
15,San Diego Police Department,101
16,Austin Police Department,95
17,Columbus Division of Police,95
18,Detroit Police Department,95
19,Atlanta Police Department,95
20,Dallas Police Department,90
21,Las Vegas Metropolitan Police Department,87
22,St. Louis County Police Department,87
23,Long Beach Police Department,86
24,Illinois State Police,86
25,Minneapolis Police Department,86
26,Phoenix Police Department,83
27,St. Louis Metropolitan Police Department,83
28,New York State Police,82
29,Oakland Police Department,81
30,Cambridge Police Department,78
31,Virginia State Police,76
32,Orange County Sheriff's Office,75
33,Oklahoma City Police Department,75
34,Charlotte-Mecklenburg Police Department,75
35,Miami Police Department,75
36,Cleveland Police Department,73
37,Police Department,73
38,San Jose Police Department,73
39,Indianapolis Metropolitan Police Department,72
40,Milwaukee Police Department,72
41,Pennsylvania State Police,71
42,New Jersey State Police,69
43,Fort Worth Police Department,68
44,Department of Public Safety,66
45,Springfield Police Department,64
46,Michigan State Police,64
47,Vermont State Police,63
48,Sacramento Police Department,62
49,Oregon State Police,62
50,Albuquerque Police Department,62
51,Miami-Dade County Police,61
52,San Antonio Police Department,61
53,Buffalo Police Department,60
54,Maryland State Police,60
55,Kansas City Police Department,59
56,New Orleans Police Department,59
57,Connecticut State Police,58
58,Evanston Police Department,56
59,Tampa Police Department,55
60,Delaware State Police,55
61,Cook County Sheriff,54
62,Richmond Police Department,54
63,Indiana State Police,54
64,El Paso Police Department,54
65,Newark Police Department,54
66,Somerville Police Department,54
67,Baltimore County Police Department,54
68,Metropolitan Nashville Police Department,53
69,New Hampshire State Police,53
70,Tucson Police Department,53
71,Suffolk County Sheriff's Department,52
72,Memphis Police Department,52
73,Fairfax County Police Department,51
74,San Bernardino County Sheriff,51
75,Louisville Metro Police,51
76,Charlottesville Police Department,50
77,Broward County Sheriff,50
78,New Mexico State Police,49
79,Honolulu Police Department,49
80,Rhode Island State Police,48
81,Fresno Police Department,48
82,Police,48
83,Cincinnati Police Department,48
84,West Virginia State Police,48
85,Tacoma Police Department,47
86,Kentucky State Police,47
87,Maine State Police,47
88,Montgomery County Police Department,47
89,Raleigh Police Department,45
90,Worcester Police Department,45
91,Idaho State Police,44
92,Reno Police Department,44
93,Louisiana State Police,44
94,Jacksonville Sheriff's Office,43
95,Orlando Police Department,43
96,Ferguson Police Department,42
97,Spokane Police Department,41
98,Omaha Police Department,40
99,Prince George's County Police Department,38
100,Sheriff's Office,38
101,Durham Police Department,37
102,King County Sheriff's Office,37
103,Hawaii Department of Public Safety,37
104,Harris County Sheriff,36
105,Madison Police Department,36
106,Bakersfield Police Department,36
107,Pittsburgh Bureau of Police,36
108,Providence Police Department,35
109,North Carolina Department of Public Safety,35
110,Sacramento County Sheriff,35
111,Wilmington Police Department,35
112,Nassau County Police Department,34
113,Mesa Police Department,34
114,Lowell Police Department,34
115,Salem Police Department,34
116,Arlington Police Department,34
117,Chicago Office Of Police Accountability,33
118,Wichita Police Department,32
119,Multnomah County Sheriff's Office,32
120,Salt Lake City Police Department,31
121,Brookline Police Department,31
122,Executive Office of Public Safety and Security,30
123,Alameda County Sheriff's Office,30
124,Lee County Sheriff's Office,30
125,Maricopa County Sheriff,30
126,Chapel Hill Police Department,29
127,Burlington Police Department,29
128,Riverside County Sheriff,29
129,San Diego County Sheriff,29
130,Greensboro Police Department,29
131,Virginia Beach Police Department,29
132,Concord Police Department,29
133,Iowa Department of Public Safety,29
134,Palo Alto Police Department,29
135,Office of the Sheriff - Contra Costa County,28
136,Bellevue Police Department,28
137,Ventura County Sheriff's Department,28
138,Baton Rouge Police Department,28
139,Port Orchard Police Department,28
140,Birmingham Police Department,27
141,Stockton Police Department,27
142,Pierce County Sheriff's Department,27
143,Irvine Police Department,27
144,Oxnard Police Department,27
145,Quincy Police Department,27
146,Hartford Police Department,27
147,Berkeley Police Department,27
148,Toledo Police Department,26
149,Department of Public Safety and Correctional Services,26
150,Topeka Police Department,26
151,Lynn Police Department,26
152,Lawrence Police Department,26
153,Georgia Department of Public Safety,25
154,Polk County Sheriff,25
155,Columbia Police Department,25
156,Spokane County Sheriff's Office,25
157,Marin County Sheriff,25
158,DeKalb County Police Department,24
159,Hennepin County Sheriff,24
160,Tulsa Police Department,24
161,Scottsdale Police Department,24
162,Lincoln Police Department,24
163,Chula Vista Police Department,24
164,Amherst Police Department,24
165,Aurora Police Department,24
166,Plano Police Department,23
167,Monroe County Sheriff,23
168,San Mateo County Sheriff’s Office,23
169,Kern County Sheriff's Office,23
170,Jefferson County Sheriff,23
171,Rochester Police Department,23
172,Chandler Police Department,23
173,Colorado Springs Police Department,23
174,Glendale Police Department,23
175,San Diego County Sheriff's Department,23
176,Jacksonville Police Department,23
177,Boulder Police Department,22
178,Bristol County Sheriff's Office,22
179,Saint Paul Police Department,22
180,Washington County Sheriff's Office,22
181,Morton County Sheriff,22
182,Anaheim Police Department,22
183,Essex County Sheriff,21
184,Fall River Police Department,21
185,MBTA Transit Police,21
186,Gainesville Police Department,21
187,City of Albany Police Department,21
188,Alexandria Police Department,21
189,Fremont Police Department,21
190,New Bedford Police Department,21
191,Brockton Police Department,21
192,Fresno County Sheriff's Office,20
193,St. Petersburg Police Department,20
194,New Castle County Police Department,20
195,Little Rock Police Department,20
196,Arlington County Police Department,20
197,Norfolk Police Department,20
198,Lubbock Police Department,20
199,Newton Police Department,20
200,Revere Police Department,20
201,Everett Police Department,20
202,Kennewick Police,20
203,Winston-Salem Police Department,19
204,Jefferson County Sheriff's Department,19
205,Office of the Sheriff,19
206,Boise Police Department,19
207,Kansas City Kansas Police Department,19
208,Santa Ana Police Department,19
209,Fort Wayne Police,19
210,Franklin County Sheriff's Office,19
211,Lake County Sheriff's Office,19
212,Erie County Sheriff's Office,19
213,Ohio Department of Public Safety,19
214,Missouri Department of Public Safety,18
215,Brevard County Sheriff,18
216,Auburn Police Department,18
217,Watertown Police Department,18
218,Franklin Police Department,18
219,Oakland County Sheriff's Office,18
220,Corpus Christi Police Department,18
221,Olympia Police Department,18
222,Anchorage Police Department,18
223,Lewisville Police Department,18
224,Modesto Police Department,18
225,City of Fort Lauderdale Police Department,18
226,Pasadena Police Department,18
227,Hillsborough County Sheriff,18
228,Oklahoma Department of Public Safety,18
229,Syracuse Police Department,17
230,Vallejo Police Department,17
231,Des Moines Police Department,17
232,"Carlsbad, CA Police Department",17
233,Niles Police Department Illinois,17
234,Plymouth Police Department,17
235,Taunton Police Department,17
236,Pittsfield Police Department,17
237,Nevada Department of Public Safety,17
238,Imperial County Sheriff's Office,17
239,Charleston Police Department,17
240,Medford Police Department,17
241,Barnstable County Sheriff's Office,17
242,New Haven Police Department,17
243,Portland Police Department,17
244,North Charleston Police Department,17
245,Independent Police Review Authority,16
246,Milton Police Department,16
247,San Francisco Sheriff's Department,16
248,Irving Police Department,16
249,Gwinnett County Police Department,16
250,Chesapeake City Police Department,16
251,Utah Department of Public Safety,16
252,Laredo Police Department,16
253,Natick Police Department,16
254,Bloomington Police Department,16
255,Torrance Police Department,16
256,Suffolk County Police Department,16
257,Mississippi Department of Public Safety,16
258,Riverside Police Department,16
259,Port of Seattle Police Department,16
260,Arkansas State Police,16
261,Tempe Police Department,16
262,Alabama Department of Public Safety,16
263,Anne Arundel County Police Department,15
264,Santa Clara County Sheriff,15
265,Grand Prairie Police Department,15
266,Northampton Police Department,15
267,Santa Clara Police Department,15
268,Washington County Sheriff,15
269,Washoe County Sheriffs Office,15
270,Hayward Police Department,15
271,Jackson Police Department,15
272,Fairfield Police Department,15
273,San Bernardino Police Department,15
274,Ventura Police Department,15
275,Haverhill Police Department,14
276,Bellingham Police Department,14
277,Pinellas County Sheriff's Office,14
278,Montgomery Police Department,14
279,Braintree Police Department,14
280,Pima County Sheriff,14
281,Kent Police Department,14
282,Santa Monica Police Department,14
283,Fayetteville Police Department,14
284,Lafayette Police Department,14
285,Sheriff,14
286,Lakewood Police Department,14
287,Waco Police Department,14
288,Plymouth County Sheriff's Department,14
289,South Dakota Department of Public Safety,14
290,Henderson Police Department,14
291,Asheville Police Department,14
292,Orange Police Department,14
293,Howard County Police Department,13
294,Middletown Police Department,13
295,Frisco Police Department,13
296,Greenville Police Department,13
297,Hialeah Police Department,13
298,City of Santa Barbara Police Department,13
299,Alaska Department of Public Safety,13
300,Mckee Kentucky Sheriff's Department,13
301,Peoria Police Department,13
302,Oceanside CA Police Department,13
303,Gilbert Police Department,13
304,Garland Texas Police Department,13
305,Reading Police Department,13
306,City of North Las Vegas Police Department,13
307,Framingham Police Department,13
308,Skokie Police Department,13
309,Cresskill Police Department,13
310,Ramsey County Sheriff's Department,13
311,Norfolk County Sheriff's Office,13
312,Jackson County Sheriff's Office,13
313,"University of California, Berkeley Police Department",13
314,Kenosha Police Department,12
315,Santa Rosa Police Department,12
316,Milwaukee County Sheriff,12
317,Redlands Police Department,12
318,Savannah-Chatham Metropolitan Police Department,12
319,Fitchburg Police Department,12
320,Fontana Police Department,12
321,McKinney Police Department,12
322,Santa Cruz Police Department,12
323,Cumberland County Sheriff's Office,12
324,Jersey City Police Department,12
325,Central Falls Police Department,12
326,Palm Beach Sheriff's Office,12
327,Mount Prospect Police Department,12
328,Malden Police Department,12
329,Wareham Police Department,12
330,Clovis Police Department,12
331,Citrus Heights Police Department,12
332,Frederick County Sheriff's Office,12
333,Park Ridge Police Department,12
334,Green Bay Police Department,12
335,Loudoun County Sheriff's Office,12
336,Chelsea Police Department,12
337,Ontario Police Department,12
338,Morgan County Sheriff's Office,12
339,Wakefield Police Department,11
340,Warren Police Department,11
341,Miami Beach Police Department,11
342,Escondido Police Department,11
343,Sparks Police Department,11
344,San Diego Harbor Police Department,11
345,Collier County Sheriff's Office,11
346,Milford Police Department,11
347,Seminole County Sheriff,11
348,Knoxville Police Department,11
349,Montgomery County Sheriff's Office,11
350,Sarasota Police Department,11
351,Sarasota County Sheriff's Office,11
352,East Providence Police Department,11
353,Middlesex County Sheriff's Office,11
354,Redwood City Police Department,11
355,Massachusetts Environmental Police,11
356,Louisville Metro Police Department,11
357,Tewksbury Police Department,11
358,Tallahassee Police Department,11
359,Roseville Police Department,11
360,Peabody Police Department,11
361,Lansing Police Department,11
362,Pawtucket Police Department,11
363,Bridgeport Police Department,11
364,Fargo Police Department,11
365,Pleasanton Police Department,11
366,Sandy Springs Police Department,11
367,Manchester Police Department,11
368,Cary Police Department,11
369,Bismarck Police Department,11
370,Clearwater Police Department,10
371,Hennepin County Sheriff's Office,10
372,Warwick Police Department,10
373,Santa Barbara County Sheriff's Office,10
374,Huntsville Police Department,10
375,Abington Police Department,10
376,Vacaville Police Department,10
377,Barnstable Police Department,10
378,Rhode Island Department of Public Safety,10
379,El Dorado County Sheriff's Office,10
380,Chattanooga Police Department,10
381,Clackamas County Sheriff's Office,10
382,Killeen Police Department,10
383,Wayne County Sheriff,10
384,Troy Police Department,10
385,Vancouver Police Department,10
386,McLennan County Sheriff,10
387,Alamance County Sheriff,10
388,West Palm Beach Police Department,10
389,Volusia County Sheriff's Office,10
390,Henderson Police,10
391,McAllen Police Department,10
392,New Hanover County Sheriff's Office,10
393,Escambia County Sheriff's Office,10
394,Mountain View Police Department,10
395,Montgomery County Sheriff,10
396,Huntington Beach Police Department,10
397,Garden Grove Police Department,10
398,Lexington Division of Police,10
399,Harris County Sheriff's Office,10
400,Simi Valley Police Department,10
401,Marlborough Police Department,10
402,Merced County Sheriff's Department,9
403,Santa Fe Police Department,9
404,Williamson County Sheriff,9
405,Jefferson Parish Sheriff,9
406,Corona Police Department,9
407,Evansville Police Department,9
408,Cranston Police Department,9
409,Metropolitan Transit Authority Police,9
410,Naperville Police Department,9
411,City of Fort Collins Police Department,9
412,Gastonia Police Department,9
413,"University of Massachusetts, Amherst Police Department",9
414,Adams County Sheriff's Office,9
415,Union County Sheriff,9
416,Elgin Police Department,9
417,Ashland Police Department,9
418,Elk Grove Police Department,9
419,UNC-Chapel Hill Department of Public Safety,9
420,Dearborn Police Department,9
421,Akron Police Department,9
422,Lewis County Sheriff's Department,9
423,Boulder County Sheriff's Office,9
424,"Montgomery County, TX Sheriff",9
425,Mobile Police Department,9
426,Utica Police Department,9
427,Roswell Police Department,9
428,Pinal County Sheriff's Office,9
429,Shasta County Sheriff,9
430,Danvers Police Department,9
431,Philadelphia Sheriff's Office,9
432,Dedham Police Department,9
433,Clark County Sheriff's Office,9
434,Portsmouth Police Department,9
435,Travis County Sheriff's Department,9
436,San Mateo Police Department,9
437,Sioux Falls Police Department,9
438,Ithaca Police Department,9
439,Des Plaines Police Department,9
440,Walnut Creek Police Department,9
441,Sonoma County Sheriff's Office,9
442,Sacramento County Sheriff's Department,9
443,St Paul Police Department,9
444,El Paso County Sheriff,9
445,Midland Police Department,9
446,Novato Police Department,9
447,Provo Police Department,9
448,Sunrise Police Department,8
449,Round Rock Police Department,8
450,Hidalgo County Sheriff's Office,8
451,Salinas Police Department,8
452,Rockford Police Department,8
453,Beaverton Police Department,8
454,High Point Police Department,8
455,Stamford Police Department,8
456,Hays County Sheriff's Office,8
457,Mendocino County Sheriff's Department,8
458,Beacon City Police Department,8
459,Norwood Police Department,8
460,Burbank Police Department,8
461,North Providence Police Department,8
462,Binghamton Police Department,8
463,North Andover Police Department,8
464,Cherokee County Sheriff's Office,8
465,Norman Police Department,8
466,Niagara County Sheriff,8
467,Chico Police Department,8
468,Fairfax County Sheriff,8
469,New Mexico Department of Public Safety,8
470,West Springfield Police Department,8
471,Dover Police Department,8
472,Nantucket Police Department,8
473,Clark County Sheriff's Department,8
474,Fullerton Police Department,8
475,Williamson County Sheriffs Office,8
476,Clay County Sheriff's Office,8
477,Monterey County Sheriff’s Office,8
478,Minnesota Department of Public Safety,8
479,Cobb County Police Department,8
480,Middleton Police Department,8
481,Snohomish County Sheriff's Office,8
482,Merced Police Department,8
483,Antioch California Police Department,8
484,Anoka County Sheriff's Office,8
485,Leicester Police Department,8
486,Boston University Police,8
487,Rapid City Police Department,8
488,Brentwood Police Department,8
489,Scituate Police Department,8
490,Lake County Sheriff,8
491,Lakeland Police Department,8
492,Hollywood Police Department,8
493,Union City Police Department,8
494,Canton Police Department,8
495,Las Cruces Police Department,8
496,Appleton Police Department,8
497,San Joaquin County Sheriff's Office,8
498,Olathe Police Department,8
499,Sheriff's Department,8
500,Virginia Department of Public Safety,8
501,Hopkinton Police Department,8
502,Livermore Police Department,8
503,Beverly Hills Police Department,8
504,Bibb County Sheriff's Office,7
505,Santa Rosa County Sheriff's Office,7
506,Duluth Police Department,7
507,Sausalito Police Department,7
508,Douglas County Sheriffs Office (NV),7
509,South Bend Police Department,7
510,Shreveport Police Department,7
511,Boca Raton Police Department,7
512,Bexar County Sheriff's Office,7
513,Seal Beach Police Department,7
514,Downey Police Department,7
515,Southbridge Police Department,7
516,Douglas County Sheriff,7
517,East Baton Rouge Parish Sheriff's Office,7
518,Shrewsbury Police Department,7
519,Independence Police Department,7
520,Humboldt County Sheriff's Office,7
521,Jefferson County Sheriffs Office,7
522,Lowndes County Sheriff's Office,7
523,Laramie County Sheriff,7
524,Dayton Police Department,7
525,Greenville County Sheriff's Department,7
526,Carson City Sheriff’s Department,7
527,Overland Park Police Department,7
528,Grand Rapids Police Department,7
529,Vineland Police Department,7
530,Culver City Police Department,7
531,Wake County Sheriff's Department,7
532,Ogden City Police Department,7
533,Gloucester Police Department,7
534,Charles County Sheriff's Office,7
535,Eugene Police Department,7
536,Norwalk Police Department,7
537,Niagara Falls Police Department,7
538,Pomona Police Department,7
539,West Covina Police Department,7
540,Gary Police Department,7
541,Westminster Police Department,7
542,Manalapan Police Department,7
543,Alameda Police Department,7
544,Federal Way Police Department.,7
545,Woodbridge Police Department,7
546,Foxborough Police Department,7
547,Yakima Police Department,7
548,Fort Myers Police Department,7
549,Yonkers Police Department,7
550,Mill Valley Police Department,7
551,Miami Gardens Police Department,7
552,Mesquite Police Department,7
553,Tustin Police Department,7
554,Enfield Police Department,7
555,Hawthorne Police Department,7
556,Renton Police Department,7
557,Kitsap County Sheriff's Office,7
558,Harvard University Police,7
559,Department Of Police Accountability,7
560,Pulaski County Sheriff,7
561,River Forest Police Department,7
562,Kauai Police Department,7
563,Beaumont Police Department,7
564,Denver County Sheriff,7
565,Hammond Police Department,7
566,Rutherford County Sheriff,7
567,"La Mesa, CA Police Department",7
568,Rialto Police Department,7
569,Johnson County Sheriff's Office,7
570,Richardson Police Department,7
571,Port St. Lucie Police Department,7
572,Belmont Police Department,7
573,Madison County Sheriff's Office,6
574,Coventry Police Department,6
575,Santa Cruz County Sheriff's Office,6
576,Newport News Police,6
577,Chelmsford Police Department,6
578,Port Chester Police Department,6
579,Coral Springs Police Department,6
580,Keene Police Department,6
581,Manatee County Sheriff's Office,6
582,Denton Police Department,6
583,Coral Gables Police Department,6
584,Morton Grove Police Department,6
585,Clifton Police Department,6
586,Rome Police Department,6
