State,Completed,No Responsive Documents,Awaiting Response,Payment Required,Fix Required,Rejected,Withdrawn,Partially Completed,Awaiting Acknowledgement,Awaiting Appeal,In Litigation
Washington,37.38,19.47,10.7,8.41,7.81,6.61,4.93,3.37,0.84,0.36,0.12
Utah,27.34,35.94,3.91,3.12,10.16,6.25,8.59,0.78,3.91,0.0,0.0
Oklahoma,44.12,31.18,2.94,2.35,7.06,5.88,1.18,1.76,1.76,1.18,0.0
Massachusetts,32.69,29.53,3.79,3.4,4.03,9.73,9.78,1.87,4.31,0.62,0.14
Illinois,54.07,20.53,4.78,0.09,6.64,6.46,3.1,1.24,1.86,0.8,0.44
California,51.66,21.31,5.87,0.6,6.57,6.28,2.34,2.31,2.49,0.35,0.19
Arizona,41.33,19.95,5.23,5.46,9.5,4.99,9.03,0.95,2.85,0.71,0.0
Georgia,47.09,22.43,2.23,3.08,11.64,3.77,2.57,0.86,6.34,0.0,0.0
Idaho,51.4,26.17,2.8,5.61,11.21,2.8,0.0,0.0,0.0,0.0,0.0
Iowa,55.17,11.49,2.3,5.75,11.49,5.75,2.3,0.0,4.6,1.15,0.0
Kentucky,32.02,32.58,2.25,1.69,9.55,8.99,3.37,1.12,7.87,0.56,0.0
Maryland,37.3,23.19,6.25,3.63,8.47,5.85,4.44,0.6,10.08,0.0,0.0
Missouri,35.67,25.06,3.61,7.0,9.26,5.19,6.55,2.71,4.51,0.23,0.23
Nevada,30.66,23.72,8.03,2.92,16.79,3.28,2.92,3.65,7.66,0.36,0.0
New Hampshire,53.1,20.0,6.9,2.76,5.52,4.14,0.69,2.07,4.83,0.0,0.0
New Mexico,31.64,27.12,3.95,1.69,3.95,16.95,11.3,1.69,1.69,0.0,0.0
North Carolina,46.56,20.0,2.79,0.66,10.16,3.44,2.79,1.48,12.13,0.0,0.0
Ohio,41.43,27.11,5.12,0.51,11.76,3.84,2.56,0.77,6.39,0.51,0.0
Texas,43.05,22.59,6.08,2.37,11.06,3.71,4.27,1.74,2.13,0.79,2.13
Virginia,21.95,26.19,2.3,6.19,15.04,15.04,6.9,1.59,4.25,0.53,0.0
West Virginia,17.2,43.01,5.38,4.3,9.68,4.3,7.53,1.08,7.53,0.0,0.0
New York,23.54,23.36,7.18,2.23,8.15,20.22,5.79,0.72,7.91,0.84,0.0
New Jersey,34.13,26.93,5.33,0.0,9.33,13.07,3.47,0.53,7.2,0.0,0.0
Louisiana,29.23,28.17,2.82,9.86,5.28,9.15,3.87,2.11,9.51,0.0,0.0
Hawaii,25.47,25.47,8.49,6.6,13.21,3.77,11.32,1.89,3.77,0.0,0.0
Wisconsin,38.05,29.76,4.88,3.9,5.85,7.8,3.41,0.49,4.88,0.98,0.0
Connecticut,32.42,26.48,14.16,5.94,9.59,3.2,4.11,0.0,3.65,0.46,0.0
Colorado,35.02,22.12,2.3,5.07,18.66,3.23,8.76,0.92,3.46,0.23,0.23
Rhode Island,66.67,18.33,1.0,3.67,4.0,2.33,2.67,0.67,0.33,0.33,0.0
Arkansas,21.28,17.02,0.71,0.71,15.6,26.24,4.96,0.0,13.48,0.0,0.0
Florida,41.45,17.38,7.16,8.46,8.92,4.0,4.46,2.42,4.83,0.84,0.09
Minnesota,41.2,29.96,5.62,2.25,8.24,5.24,5.24,0.75,1.12,0.37,0.0
Alaska,26.83,17.07,4.88,14.63,12.2,9.76,7.32,0.0,7.32,0.0,0.0
South Carolina,36.94,27.93,0.0,4.5,11.71,5.41,6.31,0.9,6.31,0.0,0.0
Oregon,18.3,24.18,4.58,9.15,12.09,17.65,9.8,1.63,1.31,1.31,0.0
Kansas,33.45,21.16,1.02,4.1,10.58,16.72,4.44,0.34,8.19,0.0,0.0
Pennsylvania,23.35,27.31,3.52,1.32,5.07,14.1,6.17,1.1,16.96,0.88,0.22
Delaware,23.36,20.56,3.74,0.93,1.87,25.23,4.67,0.93,17.76,0.0,0.0
Tennessee,18.22,13.98,6.78,1.27,19.92,22.03,11.86,0.42,3.81,0.42,0.0
Alabama,6.04,11.54,5.49,2.2,14.29,21.98,9.34,0.0,28.57,0.0,0.0
South Dakota,19.61,35.29,3.92,0.0,1.96,27.45,0.0,0.0,11.76,0.0,0.0
Michigan,34.76,17.91,3.48,11.5,8.82,14.44,3.74,1.6,2.67,0.53,0.0
Indiana,37.6,23.55,4.13,0.41,15.7,6.61,4.13,1.65,5.79,0.0,0.0
Mississippi,17.79,28.22,3.68,8.59,4.91,1.23,4.91,0.61,30.06,0.0,0.0
North Dakota,12.5,28.75,3.75,3.75,12.5,27.5,6.25,2.5,2.5,0.0,0.0
District of Columbia,25.15,16.37,19.3,0.0,4.09,17.54,13.45,0.0,4.09,0.0,0.0
Nebraska,53.85,16.92,3.08,1.54,1.54,9.23,6.15,7.69,0.0,0.0,0.0
Maine,28.43,37.25,3.92,2.94,10.78,5.88,5.88,0.98,3.92,0.0,0.0
Vermont,37.96,25.0,2.78,2.78,9.26,2.78,4.63,4.63,9.26,0.0,0.0
Montana,35.14,21.62,2.7,2.7,16.22,5.41,2.7,0.0,13.51,0.0,0.0
Wyoming,47.37,5.26,5.26,2.63,18.42,10.53,0.0,0.0,10.53,0.0,0.0
Guam,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Variation between Max and Min,93.96,37.75,18.59,14.540000000000001,18.380000000000003,26.27,12.76,7.3500000000000005,29.73,1.08,2.04
