Agency,Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
Central Puget Sound Regional Transit Authority,0.0,0.0,1.8519,81.4815,0.0,0.0,7.4074,0.0,0.0,0.0,5.5556,3.7037,54
Washington State Patrol,0.0,0.0,3.7736,60.3774,1.8868,0.0,18.8679,1.8868,1.8868,0.0,5.6604,5.6604,53
Empire State Development,0.0,0.0,0.0,60.0,6.0,0.0,14.0,4.0,0.0,0.0,16.0,0.0,50
Secretary of State,2.4096,1.2048,1.2048,59.0361,2.4096,0.0,14.4578,1.2048,2.4096,0.0,4.8193,10.8434,83
Charlottesville City Manager,0.0,0.0,0.0,54.386,10.5263,0.0,10.5263,0.0,0.0,0.0,17.5439,7.0175,57
Department of Transportation,2.7778,0.5556,1.6667,52.2222,6.6667,0.0,23.8889,0.5556,2.2222,0.0,1.1111,8.3333,180
City Clerk,3.0534,0.0,0.0,48.855,3.0534,0.0,34.3511,1.5267,0.7634,0.0,6.8702,1.5267,131
Department of Corrections and Community Supervision,0.0,0.0,5.4545,45.4545,5.4545,0.0,21.8182,0.0,3.6364,0.0,14.5455,3.6364,55
Texas Department of Criminal Justice,0.0,0.0,1.4286,44.2857,0.0,0.0,22.8571,2.8571,8.5714,0.0,8.5714,11.4286,70
Mayor's Office,3.1863,0.2451,1.2255,43.1373,8.8235,0.7353,25.2451,1.2255,1.4706,0.0,7.3529,7.3529,408
Department of Public Health,2.3529,1.1765,5.8824,42.9412,6.4706,0.5882,20.5882,0.5882,0.5882,0.0,12.3529,6.4706,170
Department of Corrections,4.918,0.0,3.4513,42.7955,9.1458,0.2588,20.7075,1.2079,5.6946,0.0,6.7299,5.0906,1159
Department of Education,6.8323,0.0,4.3478,42.236,4.3478,0.0,21.118,1.2422,1.8634,0.0,7.4534,10.559,161
Department of Revenue,0.0,0.0,0.0,42.1053,3.5088,0.0,22.807,3.5088,1.7544,0.0,21.0526,5.2632,57
Department of Corrections and Rehabilitation,0.0,0.0,1.1628,41.8605,9.3023,1.1628,19.7674,0.0,17.4419,0.0,3.4884,5.814,86
Office of the Mayor,1.444,0.722,9.3863,41.5162,7.5812,0.0,20.2166,2.8881,0.722,0.0,11.5523,3.9711,277
Office of the Attorney General - New York,0.0,0.0,5.6604,41.5094,3.7736,0.0,32.0755,1.8868,0.0,0.0,13.2075,1.8868,53
Department of Human Services,0.0,0.0,0.0,41.3333,10.6667,0.0,21.3333,0.0,0.0,0.0,9.3333,17.3333,75
County Clerk,0.0,0.0,0.0,41.1765,15.2941,0.0,31.7647,0.0,8.2353,0.0,3.5294,0.0,85
Procurement Department,0.0,0.0,0.0,40.0,4.0,0.0,46.0,0.0,0.0,0.0,10.0,0.0,50
Office Of The City Manager,11.1111,0.0,14.0741,37.037,27.4074,0.0,1.4815,1.4815,0.7407,0.0,3.7037,2.963,135
Department of Correction,14.9321,2.2624,7.2398,36.6516,4.5249,0.0,13.5747,0.4525,0.4525,0.0,9.9548,9.9548,221
Department of Health,1.4706,0.0,8.0882,35.2941,11.7647,0.0,24.2647,1.4706,2.9412,0.0,12.5,2.2059,136
Office of the Attorney General,0.9901,0.0,1.9802,34.6535,6.9307,0.0,32.6733,0.9901,1.9802,0.0,13.8614,5.9406,101
Colorado State Patrol,0.0,0.0,3.8462,34.6154,7.6923,0.0,50.0,1.9231,1.9231,0.0,0.0,0.0,52
Office of the Governor - New York,3.5294,0.0,2.3529,34.1176,3.5294,0.0,31.7647,0.0,0.0,0.0,21.1765,3.5294,85
Massachusetts Bay Transportation Authority (MBTA),0.9615,1.9231,1.9231,33.6538,8.6538,0.0,17.3077,0.9615,4.8077,0.0,7.6923,22.1154,104
Office of the Governor,8.2031,0.0,1.1719,33.5938,15.625,0.0,21.4844,0.7812,1.1719,0.0,12.5,5.4688,256
Attorney General's Office,0.0,0.0,12.8571,32.8571,1.4286,0.0,22.8571,1.4286,4.2857,1.4286,8.5714,14.2857,70
Department of Motor Vehicles,9.589,0.0,4.1096,30.137,6.8493,0.0,26.0274,2.7397,6.8493,0.0,4.1096,9.589,73
California Highway Patrol,0.0,0.0,4.5977,28.7356,9.1954,0.0,31.0345,1.1494,12.6437,0.0,6.8966,5.7471,87
Minnesota State Patrol,3.2258,0.0,6.4516,22.5806,4.8387,0.0,59.6774,0.0,0.0,0.0,3.2258,0.0,62
Open Records,13.5417,2.0833,2.0833,19.7917,17.7083,0.0,7.2917,3.125,21.875,0.0,6.25,6.25,96
"University of California, Berkeley",1.7544,0.0,19.2982,19.2982,5.2632,0.0,29.8246,0.0,0.0,0.0,1.7544,22.807,57
