Agency,Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
Chicago Office Of Police Accountability,0.0,0.0,0.0,84.8485,3.0303,0.0,12.1212,0.0,0.0,0.0,0.0,0.0,33
Topeka Police Department,0.0,0.0,0.0,80.7692,0.0,0.0,7.6923,0.0,3.8462,0.0,3.8462,3.8462,26
Stockton Police Department,3.7037,0.0,0.0,77.7778,7.4074,0.0,0.0,3.7037,0.0,0.0,7.4074,0.0,27
Irvine Police Department,0.0,0.0,0.0,74.0741,0.0,0.0,14.8148,7.4074,0.0,0.0,0.0,3.7037,27
Marin County Sheriff,0.0,4.0,0.0,68.0,8.0,0.0,8.0,4.0,0.0,0.0,8.0,0.0,25
Port Orchard Police Department,0.0,0.0,0.0,67.8571,10.7143,3.5714,17.8571,0.0,0.0,0.0,0.0,0.0,28
Evanston Police Department,0.0,0.0,0.0,67.8571,1.7857,0.0,14.2857,0.0,0.0,0.0,10.7143,5.3571,56
Sacramento County Sheriff,0.0,0.0,5.7143,65.7143,0.0,0.0,22.8571,0.0,0.0,0.0,5.7143,0.0,35
Raleigh Police Department,0.0,0.0,2.2222,64.4444,6.6667,0.0,17.7778,0.0,0.0,0.0,2.2222,6.6667,45
Polk County Sheriff,0.0,0.0,8.0,60.0,4.0,0.0,0.0,4.0,20.0,0.0,4.0,0.0,25
Berkeley Police Department,0.0,0.0,0.0,59.2593,3.7037,0.0,22.2222,3.7037,0.0,0.0,3.7037,7.4074,27
Oxnard Police Department,14.8148,0.0,0.0,59.2593,0.0,0.0,14.8148,0.0,0.0,0.0,0.0,11.1111,27
Orange County Sheriff's Office,1.3333,0.0,4.0,58.6667,8.0,0.0,18.6667,2.6667,2.6667,0.0,1.3333,2.6667,75
Chapel Hill Police Department,0.0,0.0,0.0,58.6207,3.4483,0.0,31.0345,0.0,0.0,0.0,3.4483,3.4483,29
San Diego Police Department,0.0,1.9802,0.9901,57.4257,3.9604,0.0,24.7525,1.9802,0.0,0.0,6.9307,1.9802,101
Ventura County Sheriff's Department,0.0,0.0,0.0,57.1429,0.0,0.0,28.5714,3.5714,0.0,0.0,3.5714,7.1429,28
Durham Police Department,0.0,0.0,0.0,56.7568,18.9189,0.0,18.9189,0.0,0.0,0.0,0.0,5.4054,37
Georgia Department of Public Safety,0.0,0.0,0.0,56.0,4.0,0.0,36.0,0.0,4.0,0.0,0.0,0.0,25
Bakersfield Police Department,0.0,0.0,0.0,55.5556,22.2222,0.0,13.8889,0.0,2.7778,0.0,5.5556,0.0,36
Greensboro Police Department,0.0,0.0,10.3448,55.1724,0.0,0.0,31.0345,0.0,0.0,0.0,0.0,3.4483,29
North Carolina Department of Public Safety,0.0,0.0,0.0,54.2857,0.0,0.0,40.0,2.8571,2.8571,0.0,0.0,0.0,35
Alameda County Sheriff's Office,0.0,0.0,3.3333,53.3333,6.6667,3.3333,16.6667,3.3333,6.6667,0.0,3.3333,3.3333,30
Buffalo Police Department,0.0,0.0,3.3333,53.3333,5.0,0.0,30.0,0.0,5.0,0.0,3.3333,0.0,60
Pittsburgh Bureau of Police,8.3333,2.7778,2.7778,52.7778,0.0,0.0,16.6667,0.0,2.7778,0.0,5.5556,8.3333,36
Columbus Division of Police,2.1053,0.0,2.1053,52.6316,11.5789,0.0,24.2105,1.0526,2.1053,0.0,2.1053,2.1053,95
Iowa Department of Public Safety,0.0,0.0,0.0,51.7241,13.7931,0.0,17.2414,0.0,6.8966,0.0,3.4483,6.8966,29
Brookline Police Department,0.0,0.0,0.0,51.6129,0.0,0.0,35.4839,3.2258,3.2258,0.0,3.2258,3.2258,31
Arlington Police Department,5.8824,0.0,8.8235,50.0,8.8235,0.0,17.6471,2.9412,2.9412,0.0,0.0,2.9412,34
Office of the Sheriff - Contra Costa County,0.0,0.0,7.1429,50.0,3.5714,0.0,28.5714,0.0,0.0,0.0,10.7143,0.0,28
Chicago Police Department,1.1811,0.9843,6.8898,49.8031,9.252,0.7874,17.126,0.9843,0.0,0.0,8.4646,4.5276,508
San Antonio Police Department,0.0,1.6393,3.2787,49.1803,3.2787,9.8361,24.5902,0.0,0.0,0.0,4.918,3.2787,61
Tucson Police Department,11.3208,1.8868,1.8868,49.0566,1.8868,0.0,11.3208,1.8868,7.5472,0.0,0.0,13.2075,53
Columbia Police Department,0.0,0.0,4.0,48.0,8.0,0.0,24.0,0.0,4.0,0.0,4.0,8.0,25
San Jose Police Department,0.0,0.0,5.4795,47.9452,26.0274,0.0,10.9589,1.3699,0.0,0.0,8.2192,0.0,73
Cincinnati Police Department,8.3333,0.0,8.3333,47.9167,14.5833,0.0,20.8333,0.0,0.0,0.0,0.0,0.0,48
Fresno Police Department,0.0,0.0,0.0,47.9167,6.25,0.0,33.3333,4.1667,0.0,0.0,6.25,2.0833,48
Omaha Police Department,0.0,0.0,2.5,47.5,2.5,0.0,17.5,12.5,0.0,0.0,10.0,7.5,40
Lowell Police Department,2.9412,0.0,2.9412,47.0588,0.0,0.0,38.2353,2.9412,0.0,0.0,5.8824,0.0,34
Executive Office of Public Safety and Security,33.3333,0.0,6.6667,46.6667,0.0,0.0,13.3333,0.0,0.0,0.0,0.0,0.0,30
Charlotte-Mecklenburg Police Department,13.3333,0.0,2.6667,46.6667,6.6667,0.0,13.3333,2.6667,0.0,0.0,10.6667,4.0,75
Orlando Police Department,0.0,0.0,4.6512,46.5116,2.3256,0.0,16.2791,4.6512,2.3256,0.0,18.6047,4.6512,43
Bellevue Police Department,0.0,0.0,0.0,46.4286,10.7143,0.0,17.8571,3.5714,0.0,0.0,17.8571,3.5714,28
Somerville Police Department,0.0,1.8519,0.0,46.2963,5.5556,0.0,24.0741,0.0,3.7037,0.0,12.963,5.5556,54
Cambridge Police Department,0.0,0.0,0.0,46.1538,1.2821,0.0,26.9231,1.2821,5.1282,0.0,6.4103,12.8205,78
Austin Police Department,1.0526,0.0,14.7368,45.2632,7.3684,0.0,21.0526,0.0,1.0526,0.0,3.1579,6.3158,95
Hartford Police Department,0.0,0.0,7.4074,44.4444,11.1111,0.0,25.9259,0.0,3.7037,0.0,7.4074,0.0,27
Denver Police Department,1.6129,0.0,2.4194,44.3548,13.7097,0.0,19.3548,1.6129,4.0323,0.0,6.4516,6.4516,124
Long Beach Police Department,0.0,1.1628,19.7674,44.186,4.6512,0.0,18.6047,4.6512,0.0,0.0,2.3256,4.6512,86
Wichita Police Department,0.0,0.0,3.125,43.75,3.125,0.0,15.625,0.0,18.75,0.0,15.625,0.0,32
Rhode Island State Police,0.0,0.0,2.0833,43.75,14.5833,0.0,20.8333,0.0,10.4167,0.0,6.25,2.0833,48
Sacramento Police Department,0.0,1.6129,9.6774,43.5484,17.7419,0.0,20.9677,3.2258,0.0,0.0,1.6129,1.6129,62
Texas Department of Public Safety,0.7576,0.7576,3.0303,43.1818,8.3333,3.0303,31.0606,3.0303,0.7576,0.0,3.7879,2.2727,132
Atlanta Police Department,7.3684,0.0,1.0526,43.1579,14.7368,0.0,23.1579,2.1053,0.0,0.0,4.2105,4.2105,95
San Bernardino County Sheriff,0.0,0.0,15.6863,43.1373,1.9608,0.0,27.451,0.0,0.0,0.0,11.7647,0.0,51
Indianapolis Metropolitan Police Department,0.0,0.0,5.5556,43.0556,19.4444,0.0,20.8333,2.7778,0.0,1.3889,4.1667,2.7778,72
Fort Worth Police Department,0.0,0.0,5.8824,42.6471,10.2941,1.4706,17.6471,4.4118,1.4706,0.0,5.8824,10.2941,68
Baltimore County Police Department,1.8519,0.0,3.7037,42.5926,7.4074,0.0,29.6296,0.0,5.5556,0.0,7.4074,1.8519,54
Toledo Police Department,0.0,3.8462,0.0,42.3077,7.6923,0.0,26.9231,3.8462,0.0,0.0,11.5385,3.8462,26
Minneapolis Police Department,0.0,1.1628,8.1395,41.8605,8.1395,0.0,24.4186,0.0,1.1628,0.0,10.4651,4.6512,86
Baltimore Police Department,6.7164,0.0,6.7164,41.791,5.9701,0.0,19.403,0.7463,3.7313,0.0,5.9701,8.9552,134
Madison Police Department,2.7778,0.0,0.0,41.6667,0.0,0.0,41.6667,0.0,5.5556,0.0,5.5556,2.7778,36
Palo Alto Police Department,6.8966,0.0,3.4483,41.3793,10.3448,0.0,24.1379,0.0,0.0,0.0,3.4483,10.3448,29
