,Agency,Avg Days Till Completion
0,Abbevile Police Department,31 days 20:00:00
1,Abbeville Police Department,97 days 20:37:43.811949
2,Aberdeen Police Department,30 days 19:03:00.422427250
3,Abilene Texas Police Department,252 days 20:49:24.204696500
4,Abington Police Department,19 days 07:08:21.447689111
5,Acworth Police Department,70 days 15:24:01.817352500
6,Ada County Sheriff's Office,13 days 21:13:32.030066
7,Adair County Sheriff 's Department,16 days 03:35:08.100232
8,Adams County Sheriff,183 days 09:12:51.731127
9,Adams County Sheriff's Office,29 days 21:34:55.432784666
10,"Adams County Sheriff's Office, Adams County, WA",33 days 01:39:55.850461500
11,Addison Police Department,11 days 18:02:53.857822
12,Adrian Police Department,87 days 17:30:27.609490
13,Afton Village Police Department,24 days 20:00:00
14,Aiken County Sheriff,1 days 00:59:24.612007
15,Airport Police Department,21 days 14:24:00
16,Akron Police Department,65 days 07:41:06.351710167
17,Alabama Department of Public Safety,110 days 19:15:27.916276334
18,Alachua County Sheriff,60 days 02:17:57.795249200
19,Alachua Police Department,1171 days 08:51:23.402351008
20,Alamance County Sheriff,7 days 08:00:00
21,Alameda County Sheriff's Office,146 days 05:10:00.590807542
22,Alameda Police Department,73 days 07:24:43.610380750
23,Alamosa County Sheriff,2 days 20:00:00
24,Alaska Department of Public Safety,77 days 01:46:20.641561
25,Albany County Sheriff,1 days 00:24:59.125924
26,Albany County Sheriff's Office,272 days 03:20:22.503924
27,Albany Police Department,41 days 16:38:14.402224
28,Albemarle County Police Department,3 days 22:08:48.846679
29,Albion Department of Public Safety,55 days 20:00:00
30,Albuquerque Civilian Police Oversight Agency,1 days 20:00:00
31,Albuquerque Police Department,420 days 11:47:10.016993056
32,Alcona County Sheriff's Office,15 days 08:34:24.794026500
33,Alcorn County Sheriff,1 days 16:28:34.923759
34,Alexandria City Firefighters' & Police Officers' Retirement System,4 days 01:07:16.861503
35,Alexandria Police Department,51 days 14:26:19.339226571
36,Alfred Police Department,6 days 20:19:40.591183
37,Alhambra Police Department,624 days 10:29:46.139322
38,Allegan County Sheriff,25 days 20:14:24.653252
39,Allegany County Sheriff's Office,19 days 00:56:12.495855500
40,Allegany Village Police Department,24 days 06:10:12.290585500
41,Alleghany County Sheriff's Office,126 days 12:06:05
42,Allegheny County Police Department,23 days 10:57:22.908037166
43,Allegheny County Sheriff's Office,5 days 08:19:38.672149333
44,Allen Parish Sheriff's Office,91 days 20:00:00
45,Allenstown Police Department,18 days 18:52:07.808976
46,Allentown Police Department,467 days 15:12:06.330640328
47,Alma Police Department,37 days 23:44:48.842068
48,Alpharetta Police Department,4 days 19:32:09.169920
49,Alpine County Sheriff's Office,9 days 01:51:27.793905500
50,Alstead Police Department,6 days 20:19:42.487467
51,Alton Police Department,15 days 15:57:48.459180
52,Alturas Police Department,19 days 19:02:20.780529
53,Amador County Sheriff's Office,7 days 02:19:47.422432
54,Amarillo Police Department,32 days 04:54:42.583301800
55,Amberley Police Department,12 days 01:56:46.914011
56,American Canyon Police Department,8 days 03:45:07.323613333
57,Ames Police Department,1 days 20:00:00
58,Amesbury Police Department,0 days 17:57:16.527613
59,Amherst Police Department,28 days 06:48:17.961447666
60,Amite County Sheriff's Department,44 days 17:44:39.784663
61,Amsterdam City Police Department,33 days 01:26:33.587445
62,Anadarko Police Department,4 days 16:24:26.978893
63,Anaheim Police Department,170 days 02:06:25.737491858
64,Anchorage Police Department,20 days 14:22:42.170621
65,Anderson County Sheriff,3 days 20:00:00
66,Andover Police Department,10 days 01:25:15.775914333
67,Androscoggin County Sheriff,6 days 18:46:08.334129
68,Angelica Village Police Department,22 days 01:06:44.367699
69,Angels Camp Police Department,26 days 17:16:42.996534
70,Ann Arbor Police Department,9 days 13:30:00
71,Annapolis Police Department,24 days 09:37:13.584923
72,Anne Arundel County Police Department,73 days 10:59:17.670817500
73,Anoka County Sheriff's Office,26 days 13:34:12.769104857
74,Anthony Texas Police,442 days 20:00:00
75,Antioch California Police Department,209 days 03:01:35.444693624
