Agency,Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
Evanston Police Department,0.0,0.0,0.0,67.8571,1.7857,0.0,14.2857,0.0,0.0,0.0,10.7143,5.3571,56
Orange County Sheriff's Office,1.3333,0.0,4.0,58.6667,8.0,0.0,18.6667,2.6667,2.6667,0.0,1.3333,2.6667,75
San Diego Police Department,0.0,1.9802,0.9901,57.4257,3.9604,0.0,24.7525,1.9802,0.0,0.0,6.9307,1.9802,101
Buffalo Police Department,0.0,0.0,3.3333,53.3333,5.0,0.0,30.0,0.0,5.0,0.0,3.3333,0.0,60
Columbus Division of Police,2.1053,0.0,2.1053,52.6316,11.5789,0.0,24.2105,1.0526,2.1053,0.0,2.1053,2.1053,95
Chicago Police Department,1.1811,0.9843,6.8898,49.8031,9.252,0.7874,17.126,0.9843,0.0,0.0,8.4646,4.5276,508
San Antonio Police Department,0.0,1.6393,3.2787,49.1803,3.2787,9.8361,24.5902,0.0,0.0,0.0,4.918,3.2787,61
Tucson Police Department,11.3208,1.8868,1.8868,49.0566,1.8868,0.0,11.3208,1.8868,7.5472,0.0,0.0,13.2075,53
San Jose Police Department,0.0,0.0,5.4795,47.9452,26.0274,0.0,10.9589,1.3699,0.0,0.0,8.2192,0.0,73
Charlotte-Mecklenburg Police Department,13.3333,0.0,2.6667,46.6667,6.6667,0.0,13.3333,2.6667,0.0,0.0,10.6667,4.0,75
Somerville Police Department,0.0,1.8519,0.0,46.2963,5.5556,0.0,24.0741,0.0,3.7037,0.0,12.963,5.5556,54
Cambridge Police Department,0.0,0.0,0.0,46.1538,1.2821,0.0,26.9231,1.2821,5.1282,0.0,6.4103,12.8205,78
Austin Police Department,1.0526,0.0,14.7368,45.2632,7.3684,0.0,21.0526,0.0,1.0526,0.0,3.1579,6.3158,95
Denver Police Department,1.6129,0.0,2.4194,44.3548,13.7097,0.0,19.3548,1.6129,4.0323,0.0,6.4516,6.4516,124
Long Beach Police Department,0.0,1.1628,19.7674,44.186,4.6512,0.0,18.6047,4.6512,0.0,0.0,2.3256,4.6512,86
Sacramento Police Department,0.0,1.6129,9.6774,43.5484,17.7419,0.0,20.9677,3.2258,0.0,0.0,1.6129,1.6129,62
Texas Department of Public Safety,0.7576,0.7576,3.0303,43.1818,8.3333,3.0303,31.0606,3.0303,0.7576,0.0,3.7879,2.2727,132
Atlanta Police Department,7.3684,0.0,1.0526,43.1579,14.7368,0.0,23.1579,2.1053,0.0,0.0,4.2105,4.2105,95
San Bernardino County Sheriff,0.0,0.0,15.6863,43.1373,1.9608,0.0,27.451,0.0,0.0,0.0,11.7647,0.0,51
Indianapolis Metropolitan Police Department,0.0,0.0,5.5556,43.0556,19.4444,0.0,20.8333,2.7778,0.0,1.3889,4.1667,2.7778,72
Fort Worth Police Department,0.0,0.0,5.8824,42.6471,10.2941,1.4706,17.6471,4.4118,1.4706,0.0,5.8824,10.2941,68
Baltimore County Police Department,1.8519,0.0,3.7037,42.5926,7.4074,0.0,29.6296,0.0,5.5556,0.0,7.4074,1.8519,54
Minneapolis Police Department,0.0,1.1628,8.1395,41.8605,8.1395,0.0,24.4186,0.0,1.1628,0.0,10.4651,4.6512,86
Baltimore Police Department,6.7164,0.0,6.7164,41.791,5.9701,0.0,19.403,0.7463,3.7313,0.0,5.9701,8.9552,134
Vermont State Police,14.2857,0.0,4.7619,41.2698,11.1111,0.0,23.8095,0.0,3.1746,0.0,1.5873,0.0,63
Louisville Metro Police,0.0,1.9608,1.9608,41.1765,19.6078,0.0,21.5686,0.0,0.0,0.0,5.8824,7.8431,51
Cook County Sheriff,1.8519,1.8519,3.7037,40.7407,9.2593,1.8519,24.0741,1.8519,0.0,0.0,9.2593,5.5556,54
Springfield Police Department,10.9375,1.5625,6.25,40.625,1.5625,0.0,20.3125,1.5625,3.125,0.0,7.8125,6.25,64
Cleveland Police Department,0.0,1.3699,12.3288,39.726,9.589,0.0,23.2877,1.3699,0.0,0.0,10.9589,1.3699,73
Oklahoma City Police Department,0.0,1.3333,4.0,38.6667,10.6667,0.0,29.3333,1.3333,0.0,1.3333,10.6667,2.6667,75
San Francisco Police Department,0.0,0.0,19.0476,38.0952,5.291,0.0,22.7513,5.291,0.0,0.0,6.3492,3.1746,189
Department of Public Safety,0.0,0.0,1.5152,37.8788,9.0909,0.0,28.7879,3.0303,6.0606,0.0,1.5152,12.1212,66
Dallas Police Department,0.0,0.0,11.1111,35.5556,15.5556,1.1111,18.8889,1.1111,5.5556,0.0,4.4444,6.6667,90
Boston Police Department,0.271,0.542,9.4851,35.5014,9.2141,0.0,24.3902,1.897,1.626,0.0,5.9621,11.1111,369
Newark Police Department,3.7037,0.0,9.2593,35.1852,12.963,0.0,27.7778,0.0,0.0,0.0,3.7037,7.4074,54
Maryland State Police,1.6667,0.0,3.3333,35.0,8.3333,0.0,35.0,0.0,8.3333,0.0,5.0,3.3333,60
Miami Police Department,2.6667,0.0,20.0,34.6667,10.6667,0.0,16.0,1.3333,8.0,0.0,4.0,2.6667,75
Las Vegas Metropolitan Police Department,3.4483,0.0,12.6437,34.4828,12.6437,0.0,24.1379,1.1494,5.7471,0.0,2.2989,3.4483,87
Police Department,10.9589,0.0,2.7397,34.2466,12.3288,0.0,21.9178,1.3699,4.1096,0.0,5.4795,6.8493,73
Los Angeles County Sheriff's Department,1.4388,0.0,15.8273,33.8129,5.036,0.0,24.4604,1.4388,0.7194,0.0,12.9496,4.3165,139
Richmond Police Department,0.0,0.0,1.8519,33.3333,12.963,0.0,40.7407,1.8519,7.4074,0.0,1.8519,0.0,54
Houston Police Department,0.0,0.0,9.9099,33.3333,14.4144,2.7027,21.6216,0.9009,7.2072,0.0,3.6036,6.3063,111
St. Louis County Police Department,4.5977,0.0,1.1494,33.3333,2.2989,0.0,17.2414,4.5977,10.3448,0.0,9.1954,17.2414,87
Illinois State Police,2.3256,3.4884,8.1395,32.5581,5.814,0.0,39.5349,0.0,1.1628,0.0,6.9767,0.0,86
St. Louis Metropolitan Police Department,3.6145,0.0,8.4337,32.5301,10.8434,0.0,24.0964,4.8193,9.6386,0.0,1.2048,4.8193,83
New Hampshire State Police,3.7736,0.0,16.9811,32.0755,7.5472,0.0,28.3019,0.0,3.7736,0.0,7.5472,0.0,53
Massachusetts State Police,3.3195,2.0747,3.7344,31.9502,4.9793,0.4149,15.7676,2.0747,5.3942,0.4149,17.8423,12.0332,241
El Paso Police Department,0.0,0.0,14.8148,31.4815,11.1111,0.0,16.6667,0.0,7.4074,0.0,9.2593,9.2593,54
Los Angeles Police Department,1.6949,0.4237,4.661,31.3559,3.3898,0.0,30.0847,1.2712,0.8475,0.0,22.0339,4.2373,236
Charlottesville Police Department,2.0,0.0,2.0,30.0,16.0,0.0,16.0,2.0,0.0,0.0,26.0,6.0,50
Seattle Police Department,0.6135,0.6135,16.8712,29.7546,4.908,0.0,14.1104,4.908,15.9509,0.0,3.9877,8.2822,326
Connecticut State Police,0.0,1.7241,25.8621,29.3103,5.1724,0.0,27.5862,0.0,1.7241,0.0,3.4483,5.1724,58
Suffolk County Sheriff's Department,0.0,0.0,5.7692,28.8462,9.6154,0.0,46.1538,0.0,7.6923,0.0,1.9231,0.0,52
Miami-Dade County Police,1.6393,0.0,9.8361,27.8689,14.7541,0.0,18.0328,3.2787,6.5574,0.0,6.5574,11.4754,61
Kansas City Police Department,0.0,0.0,5.0847,27.1186,18.6441,0.0,32.2034,1.6949,6.7797,0.0,5.0847,3.3898,59
Phoenix Police Department,2.4096,0.0,15.6627,26.506,13.253,0.0,24.0964,0.0,4.8193,0.0,6.0241,7.2289,83
Broward County Sheriff,0.0,0.0,14.0,26.0,14.0,0.0,22.0,2.0,8.0,0.0,4.0,10.0,50
Indiana State Police,1.8519,0.0,1.8519,25.9259,27.7778,0.0,37.037,0.0,0.0,0.0,3.7037,1.8519,54
Fairfax County Police Department,0.0,0.0,0.0,25.4902,29.4118,0.0,15.6863,1.9608,11.7647,0.0,9.8039,5.8824,51
Tampa Police Department,30.9091,1.8182,1.8182,25.4545,10.9091,0.0,16.3636,0.0,3.6364,0.0,1.8182,7.2727,55
Metropolitan Police Department,4.0936,0.0,19.2982,25.1462,4.0936,0.0,16.3743,0.0,0.0,0.0,17.5439,13.4503,171
New Jersey State Police,2.8986,0.0,8.6957,24.6377,2.8986,0.0,17.3913,0.0,0.0,0.0,40.5797,2.8986,69
