State,Mean Time to Complete: Non Police
Tennessee,75 days 21:55:53.197771189
New York,110 days 23:35:06.637999220
Illinois,54 days 15:21:51.574815085
Alabama,101 days 23:02:36.899793518
Alaska,128 days 14:52:44.240576866
Arkansas,76 days 01:01:54.699745863
California,70 days 21:29:35.891857077
Colorado,60 days 16:31:14.766129720
Connecticut,75 days 19:32:47.237773886
Delaware,77 days 05:54:03.205115915
Florida,74 days 10:08:58.245086028
Hawaii,127 days 15:15:14.860341888
Indiana,119 days 16:05:26.926332222
Kansas,70 days 11:35:43.656368249
Louisiana,136 days 04:03:37.884392602
Maine,45 days 15:01:49.565363740
Michigan,51 days 02:58:45.696786853
Minnesota,100 days 01:57:00.595551601
Mississippi,197 days 00:11:55.075745978
Montana,71 days 18:15:11.854381537
Nebraska,48 days 17:16:19.462077896
North Dakota,28 days 05:51:31.396273591
Oklahoma,172 days 17:10:26.517132550
Oregon,50 days 14:16:56.163740712
Pennsylvania,63 days 09:42:40.752405575
Rhode Island,19 days 04:17:56.258007758
South Carolina,104 days 14:35:40.240245202
South Dakota,58 days 22:23:49.553581579
Utah,97 days 06:54:08.194997036
Vermont,43 days 20:30:19.323625007
Washington,93 days 13:30:41.490857832
Wisconsin,112 days 11:24:28.520729668
Wyoming,63 days 13:03:52.159913576
Massachusetts,61 days 05:03:46.069129747
Texas,65 days 07:25:05.760928553
Virginia,54 days 12:59:22.503829143
Georgia,90 days 18:43:04.151757523
District of Columbia,124 days 18:14:00.993558444
Ohio,75 days 18:25:15.716799293
Arizona,88 days 08:37:46.710104629
Idaho,43 days 19:32:58.021072890
New Mexico,70 days 21:51:04.103553374
New Jersey,90 days 21:58:03.588884542
Missouri,69 days 12:21:47.886880552
North Carolina,112 days 15:37:19.705836668
Nevada,62 days 19:15:36.447890802
Kentucky,57 days 15:16:55.442928578
Maryland,67 days 00:25:23.093537847
Iowa,41 days 10:47:39.644742544
New Hampshire,72 days 20:38:20.894528458
West Virginia,30 days 07:53:52.901694186
Guam,42 days 05:50:45.400697333
Virgin Islands,
