Awaiting Acknowledgement,Awaiting Appeal,Awaiting Response,Completed,Fix Required,In Litigation,No Responsive Documents,Partially Completed,Payment Required,Processing,Rejected,Withdrawn,Total Number of Requests
3.012,1.2048,12.6506,27.1084,7.8313,0.0,24.0964,0.6024,0.6024,0.0,7.8313,15.0602,166
0.0,0.0,12.7907,52.3256,9.3023,0.0,22.093,0.0,0.0,0.0,1.1628,2.3256,86
2.8571,6.6667,5.7143,21.9048,16.1905,0.0,25.7143,0.0,0.0,0.0,8.5714,12.381,105
0.0,0.0,12.8571,32.8571,1.4286,0.0,22.8571,1.4286,4.2857,1.4286,8.5714,14.2857,70
40.5797,1.4493,15.942,11.5942,4.3478,0.0,18.1159,0.0,0.0,0.0,2.8986,5.0725,138
4.0,2.0,18.0,52.0,6.0,0.0,12.0,2.0,0.0,0.0,4.0,0.0,50
2.7778,1.6667,14.4444,23.3333,11.1111,0.0,17.7778,1.6667,2.2222,0.0,16.6667,8.3333,180
0.0,0.0,4.5977,28.7356,9.1954,0.0,31.0345,1.1494,12.6437,0.0,6.8966,5.7471,87
1.1494,0.0,8.046,43.6782,12.6437,0.0,13.7931,1.1494,0.0,0.0,10.3448,9.1954,87
1.5494,7.1659,26.1459,13.5571,2.9051,0.0,13.1698,0.1937,0.2582,0.1937,30.0194,4.8418,1549
0.0,0.0,1.8519,81.4815,0.0,0.0,7.4074,0.0,0.0,0.0,5.5556,3.7037,54
0.0,0.0,0.0,54.386,10.5263,0.0,10.5263,0.0,0.0,0.0,17.5439,7.0175,57
3.0534,0.0,0.0,48.855,3.0534,0.0,34.3511,1.5267,0.7634,0.0,6.8702,1.5267,131
1.2346,2.4691,7.4074,30.8642,12.3457,0.0,20.9877,2.4691,0.0,0.0,16.0494,6.1728,81
0.0,0.0,3.8462,34.6154,7.6923,0.0,50.0,1.9231,1.9231,0.0,0.0,0.0,52
2.439,0.0,1.2195,39.0244,17.0732,0.0,21.9512,0.0,7.3171,0.0,9.7561,1.2195,82
0.0,0.0,0.0,41.1765,15.2941,0.0,31.7647,0.0,8.2353,0.0,3.5294,0.0,85
1.8182,0.0,9.0909,18.1818,9.0909,0.0,41.8182,0.0,0.0,0.0,5.4545,14.5455,55
0.7143,1.4286,45.0,12.1429,4.2857,0.0,27.1429,0.0,0.0,0.7143,4.2857,4.2857,140
3.4965,0.6993,15.3846,25.8741,6.993,0.0,12.5874,2.7972,0.6993,0.6993,20.979,9.7902,143
14.9321,2.2624,7.2398,36.6516,4.5249,0.0,13.5747,0.4525,0.4525,0.0,9.9548,9.9548,221
