Completed Diff,Rejected Diff,Mean Time Diff
-20.409999999999997,2.8400000000000003,-4 days
-9.34,-4.300000000000001,-19 days
6.849999999999994,-3.670000000000001,7 days
-0.17999999999999972,7.380000000000001,78 days
6.100000000000001,-0.45999999999999996,-2 days
5.599999999999994,1.2000000000000002,22 days
-5.660000000000004,1.3800000000000003,52 days
10.400000000000006,-2.11,-36 days
-3.960000000000001,-3.45,-5 days
11.61,1.46,97 days
-2.289999999999999,-2.7699999999999996,-13 days
5.389999999999997,-7.34,27 days
-4.07,-2.95,1 days
-12.400000000000002,-1.44,27 days
15.340000000000003,-4.250000000000001,10 days
-11.630000000000003,13.1,154 days
-0.9699999999999989,-1.81,-4 days
-1.7000000000000028,-3.74,10 days
0.529999999999994,-1.4900000000000002,14 days
-20.080000000000002,2.1099999999999994,10 days
-16.38,-13.219999999999999,79 days
-21.15,7.209999999999999,17 days
-1.6799999999999997,-5.530000000000001,-10 days
-0.4800000000000004,3.3500000000000005,-27 days
-12.149999999999999,-1.1800000000000002,2 days
-4.5,1.1099999999999994,-22 days
-13.879999999999995,0.1900000000000004,68 days
-2.779999999999994,-0.6000000000000001,-5 days
8.36,0.050000000000000266,3 days
-2.3999999999999986,-4.900000000000002,83 days
-3.769999999999996,-1.0899999999999999,4 days
3.8700000000000045,2.8400000000000003,-24 days
-3.360000000000003,1.58,-83 days
1.8200000000000003,-5.75,-14 days
-16.99,7.359999999999999,83 days
4.630000000000003,-5.550000000000001,-5 days
-22.729999999999997,-4.139999999999999,45 days
-10.32,1.4000000000000021,15 days
-12.5,-1.759999999999998,31 days
-23.71,9.42,130 days
-14.660000000000004,3.669999999999998,3 days
-2.440000000000005,2.8499999999999996,19 days
-0.5,-1.62,-37 days
-8.3,-7.469999999999999,-44 days
-36.42,20.509999999999998,49 days
-12.75,10.28,53 days
11.969999999999999,1.1100000000000012,-1 days
-15.509999999999998,-0.9400000000000004,-14 days
-11.100000000000001,1.3599999999999999,-8 days
-2.6499999999999986,1.92,39 days
1.5399999999999991,5.669999999999999,114 days
20.0,0.0,14 days
