,result
02. Released,10450
02a. Released - Redacted,4700
No responsive documents,4212
Duplicate request,1668
02c. Released – Redacted and/or Withheld,1559
Referred to another agency,1350
01a. Not Released - Withheld,1012
Records available for review,655
The records requested must be obtained by following a different process.,652
02b. Released - Withheld,469
Not a PRA request,353
,318
Request withdrawn,271
Waiting for clarification from the requestor,264
Request Re-opened after Initial Closure,207
A portion of the records requested must be obtained by following a different process.,119
Waiting for clarification from the requester,87
Waiting for Pre-payment from Requestor,64
All responsive documents have been released pursuant to the California Public Records Act.,38
Media Inquiry,31
[Law enforcement investigation] Government Code section §6254(f),28
Government Code section 6254 (k) [other state or federal law],18
The public interest in the nondisclosure of personal identifying information clearly outweighs the public interest in disclosure. ,13
Still reviewing potentially responsive records,12
Government Code section 6254(f)(2),7
Released All responsive documents have been released pursuant to the California Public Records Act.,7
[Public interest/Deliberative process] Government Code section 6255,6
  02. Released,5
Still reviewing records,5
All responsive documents have been released except those that have been redacted and/or withheld pursuant to:,5
[Unwarranted invasion of personal privacy] Government Code section 6254(c),4
Overbroad,4
  All responsive documents have been released pursuant to the California Public Records Act.,4
The nature of the request pertains to public records that are exempt from disclosure under the Public Records Act.,4
  02a. Released - Redacted,4
Partial release of responsive documents,4
Health and Safety Code section 19851,3
Government Code section 6254(c),3
The City of San Diego has no responsive documents.,3
Trade secret privilege,3
Juvenile suspect information [Welfare & Institutions Code section 827],3
Government Code section 6255 [the public interest in nondisclosure clearly outweighs the public interest in disclosure]. ,3
[Preliminary draft] Government Code section 6254(a),3
Referred to Customer Service,2
The City of San Diego does not maintain the records requested. ,2
Responsive document(s) are being withheld from disclosure pursuant to Government Code section 6254(c)[personnel,2
The records requested can be obtained by following a different process.,2
No responsive documents.,2
060616,2
Media Request,2
 ,2
Waiting for clarification from the requester. Some information requested is exempt,2
  01a. Not Released - Withheld,2
  Council District 8 has no responsive documents.,2
All Council Offices have responded to this request.,1
Council District 2 has responsive documents and have been released pursuant to the California Public Records Act.,1
Government Code Section 6255 [public interest in non-disclosure outweighs public interest in disclosure]. ,1
02. Released via Request #18-1847,1
All responsive documents have been produced except those withheld pursuant to Cal. Business & Professions Code section 6149,1
Dear W.,1
Released- All responsive documents have been released pursuant to the California Public Records Act.,1
Code of Civil Procedure 2018.030] [Attorney Work Product Doctrine],1
Attorney Client Privilege [Evidence Code section 950 et seq],1
The records requested may be obtained by following a different process - no PRAR required.,1
No response from requester.,1
As currently phrased the request does not contain enough information.  The requestor has been asked to provide additional information.,1
Response has been provided to requester,1
SDCERS received the below message from requester advising that he had received a sufficient response and did not need any further information and would be withdrawing the present request.,1
released,1
Good afternoon,1
SDCERS' response provided to requester with available City information,1
Response provided by the City Clerk's Office for the requestor to view potential responsive documents.  Council Administration does not have responsive documents.,1
All responsive documents are available on the City Clerk's office website at the link provided.,1
All responsive documents have been released except those that have been withheld pursuant to: Government Code section 6254(f),1
The records requested must be obtained by following a different process.  There are 59 leases,1
All responses have been provided to the requestor.  This completes the public records request.  Information provided had no redactions.,1
Correction:  this will be handled internally. ,1
Reopened by mistake.,1
The office of Council District 9 has no responsive documents to this request.,1
Citizen's question answered.,1
The City is not able to produce a copy of the audio of the requested meeting,1
Public records identified as responsive to your request are exempt from disclosure as constituting work product and attorney-client communications.  Cal. Gov’t Code section 6254(k); Cal. Code Civ. Proc.,1
Crime reports are withheld pursuant to:,1
The City received your California Public Records Act request,1
Your request was already submitted and is being processed under number: 16-1752.,1
External message sent to requester regarding burdensome and not identifiable.  Asked to be focused and specific.,1
persona02a. Released - Redacted,1
Mr. Combs,1
The requestor has withdrawn this request for public records.,1
The downloadable disposition chart is an index of San Diego Superior Court cases involving Michael Jack Knight including the disposition charge,1
02b. Released - Information Withheld,1
Customer will come in the office to view old Municipal Code books.,1
referred to other agency.,1
Government Code section 6254(f)(1),1
Development Services Department's online permits link: https://data.sandiego.gov/datasets/?department=development-services,1
All responsive records have been provided.,1
Non-Response from requester,1
Records available for review at the Planning Department,1
All responsive documents from Council District 4,1
Attorney Work Product Doctrine [Code of Civil Procedure 2018.030],1
Link to City Clerk's office website ELF which has these documents available for the public to view and print.,1
Our office has communicated to requestor that we don't have any  responsive documents to this request.,1
No responsive documents to followup request.,1
Provided link to requested information on the City Clerk's website.,1
Your revised request is completed,1
All responsive documents have been released.,1
The records requested must be obtained by following a different process (request will be fulfilled by the Equal Opportunity Contracting Program).,1
Per SDMC 27.0204 the time to obtain nomination papers in connection with candidacy in District or City-wide Primary Elections that are consolidated with statewide primary elections may be obtained from the City Clerk not earlier than thirty calendar days prior to the date after which the Registrar of Voters may not accept nomination documents for the statewide primary election pursuant to California Elections Code Section 8020. That date per our previous e-mail would be November 6,1
