,0
0,Code Enforcement
1,Department of Real Estate and Airport Management
2,City Clerk
3,Public Records Administration
4,Police
5,Public Utilities
6,Fire-Rescue
7,Planning
8,City Treasurer
9,Equal Opportunity Contracting
10,Deputy Chief Operating Officer - Infrastructure/Public Works
11,Transportation
12,
13,None Assigned
14,Environmental Services
15,Development Services
16,Engineering and Capital Projects
17,Corporate Partnerships
18,Parks & Recreation
19,City Attorney
20,City Council District 3
21,Purchasing & Contracting
22,Mayor
23,Human Resources
24,Airports
25,City Council Administration
26,Risk Management
27,City Council District 9
28,City Council District 5
29,Special Events & Filming
30,Personnel
31,Economic Development
32,Planning Commission
33,Cultural Affairs
34,City Council District 2
35,City Council District 8
36,City Council District 1
37,City Council District 4
38,City Council District 6
39,City Council District 7
40,Performance & Analytics
41,City Auditor
42,Citizens Assistance
43,Information Technology
44,Library
45,Debt Management
46,"Equal Opportunity Contracting, Engineering and Capital Projects"
47,"Police, Public Records Administration"
48,"City Treasurer, Purchasing & Contracting"
49,"Department of Real Estate and Airport Management, Public Records Administration"
50,Civic San Diego
51,"Engineering and Capital Projects, ADA Compliance & Accessibility"
52,"Planning, Public Records Administration"
53,"Fire-Rescue, Police"
54,"City Attorney, Mayor"
55,"Purchasing & Contracting, Department of Real Estate and Airport Management"
56,"Human Resources, Public Records Administration"
57,"Public Utilities, Public Records Administration , Office of Emergency Services"
58,"City Council Administration, City Council District 7"
59,ADA Compliance & Accessibility
60,"Development Services, Public Records Administration"
61,"Code Enforcement, Development Services, Fire-Rescue"
62,"City Council Administration, City Council District 8"
63,"Code Enforcement, Development Services"
64,"Public Utilities, Public Records Administration"
65,"Police, Transportation"
66,"City Treasurer, Public Records Administration"
67,"City Attorney, City Council District 3, City Council District 8"
68,"Code Enforcement, Fire-Rescue"
69,"Risk Management, Transportation"
70,"Fire-Rescue, Police, Public Records Administration"
71,"Development Services, Public Utilities"
72,"Information Technology, Mayor, Public Records Administration"
73,"Information Technology, Deputy Chief Operating Officer - Infrastructure/Public Works"
74,"Risk Management, Public Records Administration"
75,"Code Enforcement, Development Services, Environmental Services"
76,"Department of Real Estate and Airport Management, Airports"
77,"Information Technology, Retirement (SDCERS)"
78,"Engineering and Capital Projects, Transportation"
