Agency,Avg Days Till Completion
Alameda County Sheriff's Office,146 days 05:10:00.590807542
Albuquerque Police Department,420 days 11:47:10.016993056
Arlington Police Department,125 days 17:40:15.756569502
Atlanta Police Department,20 days 19:58:36.303734830
Austin Police Department,64 days 17:25:13.569968257
Bakersfield Police Department,113 days 22:50:35.344825666
Baltimore County Police Department,104 days 06:48:41.736691356
Baltimore Police Department,61 days 13:53:11.290538486
Baton Rouge Police Department,160 days 21:22:03.927161732
Bellevue Police Department,52 days 13:17:56.103571611
Berkeley Police Department,159 days 18:14:30.648339760
Birmingham Police Department,266 days 04:08:18.535541500
Boston Police Department,130 days 22:34:18.375387770
Brookline Police Department,26 days 08:07:43.209358920
Broward County Sheriff,60 days 20:41:48.423229423
Buffalo Police Department,90 days 09:46:03.484072881
Burlington Police Department,324 days 04:53:20.083810352
Cambridge Police Department,82 days 01:44:41.014005259
Chapel Hill Police Department,70 days 13:50:23.520335279
Charlotte-Mecklenburg Police Department,100 days 04:43:19.624799143
Charlottesville Police Department,141 days 23:40:31.030929222
Chicago Office Of Police Accountability,16 days 09:26:38.230085500
Chicago Police Department,64 days 15:20:39.193454091
Cincinnati Police Department,97 days 20:21:36.982485355
Cleveland Police Department,207 days 23:41:24.726658660
Columbia Police Department,107 days 07:20:55.366685420
Columbus Division of Police,22 days 22:03:47.965712029
Concord Police Department,33 days 05:20:27.405057
Connecticut State Police,239 days 05:45:59.850521624
Cook County Sheriff,38 days 08:26:50.633866371
Dallas Police Department,107 days 20:08:48.819717984
Delaware State Police,129 days 08:40:31.093828470
Denver Police Department,37 days 21:50:36.616243480
Department of Public Safety,81 days 20:04:56.330792397
Department of Public Safety and Correctional Services,73 days 22:17:52.663651461
Detroit Police Department,129 days 16:07:40.563927804
Durham Police Department,40 days 04:13:40.777292630
El Paso Police Department,59 days 18:01:13.194966375
Evanston Police Department,35 days 20:53:36.842298415
Executive Office of Public Safety and Security,142 days 13:31:22.905840530
Fairfax County Police Department,15 days 22:19:10.325778047
Ferguson Police Department,105 days 21:29:25.753542566
Fort Worth Police Department,83 days 21:35:46.078262456
Fresno Police Department,105 days 23:20:11.505253792
Georgia Department of Public Safety,32 days 04:57:55.313730250
Greensboro Police Department,141 days 23:39:56.083624116
Harris County Sheriff,93 days 22:52:09.977806474
Hartford Police Department,235 days 06:46:37.642396
